Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Manufacturer_minmax,Model_minmax,Sales_in_thousands_minmax,__year_resale_value_minmax,Vehicle_type_minmax,Price_in_thousands_minmax,Engine_size_minmax,Horsepower_minmax,Wheelbase_minmax,Width_minmax,Length_minmax,Curb_weight_minmax,Fuel_capacity_minmax,Fuel_efficiency_minmax,Latest_Launch_minmax,Power_perf_factor_minmax,Manufacturer_zscore,Model_zscore,Sales_in_thousands_zscore,__year_resale_value_zscore,Vehicle_type_zscore,Price_in_thousands_zscore,Engine_size_zscore,Horsepower_zscore,Wheelbase_zscore,Width_zscore,Length_zscore,Curb_weight_zscore,Fuel_capacity_zscore,Fuel_efficiency_zscore,Latest_Launch_zscore,Power_perf_factor_zscore
3,38,91.561,12.475,1,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25,25,71.18145132,0.103448276,0.24516129,0.16921238,0.117246354,1,0.167049105,0.3,0.303797468,0.355748373,0.583815029,0.601864181,0.400598314,0.331797235,0.333333333,0.19379845,0.290566782,-1.344077072,-0.882740387,0.568670497,-0.46375663,0.59451516,-0.37665656,0.038045145,-0.193370839,0.199658682,0.452989805,0.543448655,-0.0153202,-0.115731589,0.272683767,-1.040581079,-0.232791453
3,121,39.35,13.74,1,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23,129,95.63670253,0.103448276,0.780645161,0.072606027,0.137522039,1,0.210647086,0.4,0.46835443,0.355748373,0.583815029,0.623169108,0.44819146,0.331797235,0.266666667,1,0.438899046,-1.344077072,0.964239379,-0.201262189,-0.339078111,0.59451516,-0.14288355,0.712426014,0.960297336,0.199658682,0.452989805,0.663334755,0.264921145,-0.115731589,-0.20036984,1.706485672,0.749046156
3,107,27.851,20.19,1,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24,57,85.82840825,0.103448276,0.690322581,0.051329353,0.240903991,1,0.29803973,0.4,0.379746835,0.459869848,0.699421965,0.764314248,0.512102257,0.377880184,0.3,0.441860465,0.379407263,-1.344077072,0.652700624,-0.370832892,0.296634494,0.59451516,0.325717084,0.712426014,0.339091395,0.83185525,1.036055183,1.457580168,0.641245236,0.143098318,0.036156964,-0.195329771,0.355259475
3,89,83.257,13.36,1,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25,101,84.25452581,0.103448276,0.574193548,0.153847435,0.131431319,1,0.244542057,0.4,0.379746835,0.42516269,0.630057803,0.673768309,0.461245581,0.331797235,0.333333333,0.782945736,0.369860948,-1.344077072,0.252150795,0.446215056,-0.376530947,0.59451516,0.038861782,0.712426014,0.339091395,0.621123061,0.686215956,0.948064243,0.341787342,-0.115731589,0.272683767,0.966890778,0.292070716
4,51,63.729,22.525,1,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22,48,113.8545976,0.137931034,0.329032258,0.117714649,0.278329861,1,0.402019275,0.514285714,0.556962025,0.492407809,0.687861272,0.769640479,0.566494425,0.377880184,0.233333333,0.372093023,0.549398897,-1.227362415,-0.5934544,0.158244217,0.526772313,0.59451516,0.883256924,1.483147008,1.581503276,1.029416677,0.977748645,1.487551693,0.961521059,0.143098318,-0.436896644,-0.433056701,1.480464304
4,137,15.943,27.1,1,44.475,4.6,275,112.2,75,201,3.342,18.5,22,72,115.6213578,0.137931034,0.883870968,0.029295903,0.35165892,1,0.462073035,0.514285714,0.556962025,0.42516269,0.716763006,0.687083888,0.393527332,0.377880184,0.233333333,0.558139535,0.560115105,-1.227362415,1.320283672,-0.546434938,0.977684742,0.59451516,1.205266063,1.483147008,1.581503276,0.621123061,1.12351499,1.022993055,-0.056956057,0.143098318,-0.436896644,0.20088178,1.551396783
4,58,6.536,25.725,1,39.665,4.6,275,108,75.5,200.6,3.843,19,22,29,113.7658739,0.137931034,0.374193548,0.01189007,0.329620131,1,0.399003475,0.514285714,0.556962025,0.334056399,0.74566474,0.681757656,0.529779712,0.400921659,0.233333333,0.224806202,0.548860748,-1.227362415,-0.437685022,-0.685155835,0.842164613,0.59451516,0.86708616,1.483147008,1.581503276,0.067951064,1.269281334,0.99302153,0.745334878,0.272513271,-0.436896644,-0.934924665,1.476902195
4,35,11.185,18.225,1,31.01,3,200,107.4,70.3,194.8,3.77,18,22,128,83.48309358,0.137931034,0.225806452,0.020492145,0.209408559,1,0.285517603,0.285714286,0.367088608,0.321041215,0.445086705,0.604527297,0.509926571,0.35483871,0.233333333,0.992248062,0.365181859,-1.227362415,-0.949498692,-0.616599074,0.102963909,0.59451516,0.258573258,-0.05829498,0.25034769,-0.011073507,-0.246688648,0.558434417,0.628434203,0.013683364,-0.436896644,1.680071569,0.261098997
4,59,14.785,14.18,0,46.225,5.7,255,117.5,77,201.2,5.572,30,15,67,109.5091165,0.137931034,0.380645161,0.027153248,0.144574451,0,0.48501934,0.671428571,0.506329114,0.540130152,0.832369942,0.689747004,1,0.907834101,0,0.519379845,0.523041571,-1.227362415,-0.415432254,-0.563511455,-0.29571167,-1.682042893,1.328304489,2.542888375,1.226528453,1.319173437,1.706580367,1.037978818,3.514119364,3.119642242,-2.09258427,0.068811263,1.306000474
5,36,145.519,9.25,1,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27,109,46.36334747,0.172413793,0.232258065,0.269051218,0.065555377,1,0.052776503,0.171428571,0.151898734,0.249457701,0.306358382,0.419440746,0.212401414,0.184331797,0.4,0.84496124,0.140033651,-1.110647757,-0.927245924,1.364365425,-0.781612933,0.59451516,-0.989387923,-0.829015974,-1.258295308,-0.445708647,-0.946367101,-0.483076077,-1.123474546,-0.943987289,0.745737375,1.178203605,-1.229196991
5,92,135.126,11.225,1,16.535,3.1,170,107,69.4,190.4,3.051,15,25,55,67.31446216,0.172413793,0.593548387,0.249820983,0.097211092,1,0.095718875,0.3,0.291139241,0.312364425,0.393063584,0.545938748,0.314386728,0.216589862,0.333333333,0.426356589,0.267111728,-1.110647757,0.318909099,1.211104419,-0.586956747,0.59451516,-0.759130297,0.038045145,-0.282114545,-0.063756554,-0.509068068,0.228747642,-0.522957379,-0.762806355,0.272683767,-0.248157978,-0.388044628
5,90,24.629,10.31,1,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25,79,69.9913956,0.172413793,0.580645161,0.045367665,0.08254528,1,0.126598046,0.3,0.303797468,0.323210412,0.572254335,0.68575233,0.390263802,0.290322581,0.333333333,0.612403101,0.283348551,-1.110647757,0.274403563,-0.418346311,-0.677139233,0.59451516,-0.593555729,0.038045145,-0.193370839,0.002097255,0.394683268,1.015500174,-0.076172606,-0.348678505,0.272683767,0.385780503,-0.280570208
5,97,42.593,11.525,1,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27,38,72.03091719,0.172413793,0.625806452,0.078606571,0.102019554,1,0.133154134,0.342857143,0.316455696,0.388286334,0.583815029,0.645805593,0.39298341,0.30875576,0.4,0.294573643,0.295719181,-1.110647757,0.430172941,-0.153439092,-0.557388719,0.59451516,-0.558401893,0.327065517,-0.104627133,0.39722011,0.452989805,0.790713736,-0.060158815,-0.245146542,0.745737375,-0.697197735,-0.198686813
5,30,26.402,13.025,1,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25,15,81.11854333,0.172413793,0.193548387,0.048648259,0.126061869,1,0.198059398,0.4,0.367088608,0.184381779,0.664739884,0.58322237,0.436497144,0.299539171,0.333333333,0.11627907,0.350839782,-1.110647757,-1.060762533,-0.392200658,-0.409548578,0.59451516,-0.210378916,0.712426014,0.25034769,-0.840831501,0.86113557,0.438548317,0.196061843,-0.296912523,0.272683767,-1.304722112,0.166166242
5,46,17.947,36.225,1,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22,75,141.14115,0.172413793,0.296774194,0.033003917,0.497916333,1,0.47820101,0.671428571,0.734177215,0.25813449,0.63583815,0.403462051,0.357628501,0.405529954,0.233333333,0.581395349,0.714904296,-1.110647757,-0.704718241,-0.51688283,1.877045599,0.59451516,1.2917445,2.542888375,2.823915157,-0.3930256,0.715369225,-0.572990652,-0.2683381,0.298396262,-0.436896644,0.28012409,2.57597394
5,111,32.299,9.125,1,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33,122,48.2976361,0.172413793,0.716129032,0.059559516,0.063551851,1,0.061955025,0.114285714,0.164556962,0.097613883,0.23699422,0.331557923,0.136796301,0.133640553,0.6,0.945736434,0.151765995,-1.110647757,0.741711697,-0.305240189,-0.793932944,0.59451516,-0.940172552,-1.214376471,-1.169551603,-1.367661974,-1.296206328,-0.977606239,-1.568657939,-1.228700187,2.164898197,1.521586948,-1.151538524
5,94,21.855,5.16,1,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45,65,23.27627233,0.172413793,0.606451613,0.040234915,0,1,0,0,0,0.010845987,0,0,0,0,1,0.503875969,0,-1.110647757,0.363414636,-0.45925327,-1.184723717,0.59451516,-1.272376303,-1.985097464,-2.323219777,-1.894492447,-2.491490352,-2.843333672,-2.374151633,-1.979306915,5.003219842,0.015983056,-2.156104609
5,78,107.995,14.18,1,18.89,3.4,180,110.5,73,200,3.389,17,27,87,71.83803944,0.172413793,0.503225806,0.199620317,0.144574451,1,0.126598046,0.342857143,0.316455696,0.388286334,0.601156069,0.673768309,0.406309491,0.30875576,0.4,0.674418605,0.294549289,-1.110647757,0.007370344,0.811015478,-0.29571167,0.59451516,-0.593555729,0.327065517,-0.104627133,0.39722011,0.540449612,0.948064243,0.018308761,-0.245146542,0.745737375,0.59709333,-0.206430533
6,135,7.854,12.36,1,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24,3,65.95718396,0.206896552,0.870967742,0.014328774,0.115403109,1,0.139054612,0.214285714,0.273417722,0.240780911,0.410404624,0.552596538,0.291542018,0.258064516,0.3,0.023255814,0.258879216,-0.9939331,1.275778135,-0.665719868,-0.475091041,0.59451516,-0.52676344,-0.539995601,-0.406355733,-0.498391694,-0.421608261,0.266212049,-0.657473224,-0.529859439,0.036156964,-1.621691353,-0.442537087
6,134,32.775,14.18,1,24.495,2.5,168,106,69.2,193,3.332,16,24,24,69.52135505,0.206896552,0.864516129,0.060440262,0.144574451,1,0.200091785,0.214285714,0.286075949,0.290672451,0.38150289,0.580559254,0.390807724,0.262672811,0.3,0.186046512,0.280497541,-0.9939331,1.253525367,-0.298220826,-0.29571167,0.59451516,-0.199481226,-0.539995601,-0.317612027,-0.195464172,-0.567374605,0.423562555,-0.072969848,-0.503976448,0.036156964,-1.066995182,-0.299441553
6,42,31.148,13.725,1,22.245,2.7,200,113,74.4,209.1,3.452,17,26,95,80.02378204,0.206896552,0.270967742,0.057429813,0.137281616,1,0.170589392,0.242857143,0.367088608,0.442516269,0.682080925,0.79494008,0.423443024,0.30875576,0.366666667,0.736434109,0.344199555,-0.9939331,-0.793729314,-0.322213481,-0.340556513,0.59451516,-0.357673489,-0.347315352,0.25034769,0.726489155,0.948595376,1.629916437,0.119195645,-0.245146542,0.509210571,0.808406157,0.1222134
6,40,32.306,12.64,1,16.48,2,132,108,71,186,2.911,16,27,19,53.56619987,0.206896552,0.258064516,0.059572468,0.119891008,1,0.094997705,0.142857143,0.194936709,0.334056399,0.485549133,0.4873502,0.276312211,0.262672811,0.4,0.147286822,0.18372224,-0.9939331,-0.838234851,-0.305136963,-0.447494215,0.59451516,-0.762997219,-1.021696222,-0.956566709,0.067951064,-0.042615766,-0.100939133,-0.747150455,-0.503976448,0.745737375,-1.199065699,-0.940014462
6,83,13.462,17.325,1,28.34,3.5,253,113,74.4,207.7,3.564,17,23,82,101.3292807,0.206896552,0.535483871,0.024705292,0.19498317,1,0.250508097,0.357142857,0.501265823,0.442516269,0.682080925,0.776298269,0.453902638,0.30875576,0.266666667,0.635658915,0.473427132,-0.9939331,0.118634185,-0.583021155,0.014259825,0.59451516,0.070851773,0.423405642,1.191030971,0.726489155,0.948595376,1.525016099,0.298550106,-0.245146542,-0.20036984,0.465022814,0.977593689
6,146,53.48,19.54,0,22.799,3,177.5,107,70.55,187.9,3.342,17.2,24,99,72.03091719,0.206896552,0.941935484,0.098750858,0.230485655,0,0.177853537,0.285714286,0.310126582,0.312364425,0.459537572,0.5126498,0.393527332,0.31797235,0.3,0.76744186,0.295719181,-0.9939331,1.520558586,0.007106715,0.232570433,-1.682042893,-0.318723038,-0.05829498,-0.148998986,-0.063756554,-0.173805476,0.041425611,-0.056956057,-0.193380561,0.036156964,0.914062571,-0.198686813
6,2,30.696,14.18,1,29.185,3.5,253,113,74.4,197.8,3.567,17,23,43,101.6552441,0.206896552,0.012903226,0.056593475,0.144574451,1,0.261587884,0.357142857,0.501265823,0.442516269,0.682080925,0.644474035,0.454718521,0.30875576,0.266666667,0.333333333,0.475404249,-0.9939331,-1.683840045,-0.328878926,-0.29571167,0.59451516,0.130261756,0.423405642,1.191030971,0.726489155,0.948595376,0.783220855,0.303354243,-0.245146542,-0.20036984,-0.565127218,0.990680577
7,104,76.034,7.75,1,12.64,2,132,105,74.4,174.4,2.567,12.5,29,34,52.08489875,0.24137931,0.670967742,0.140482671,0.041513063,1,0.044646955,0.142857143,0.194936709,0.268980477,0.682080925,0.332889481,0.182757683,0.101382488,0.466666667,0.263565891,0.174737472,-0.877218443,0.585942319,0.339700648,-0.929453073,0.59451516,-1.03297868,-1.021696222,-0.956566709,-0.32717179,0.948595376,-0.970113358,-1.298024869,-1.409881121,1.218790982,-0.802854148,-0.999486236
7,17,4.734,12.545,1,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24,96,65.65050834,0.24137931,0.109677419,0.008555817,0.118368328,1,0.128630433,0.214285714,0.273417722,0.240780911,0.375722543,0.543275632,0.267609464,0.258064516,0.3,0.744186047,0.257019088,-0.877218443,-1.350048521,-0.711729138,-0.456857424,0.59451516,-0.58265804,-0.539995601,-0.406355733,-0.498391694,-0.596527874,0.21376188,-0.798394586,-0.529859439,0.036156964,0.834820261,-0.454849602
7,141,71.186,10.185,1,20.23,2.5,168,108,71,186,3.058,16,24,17,67.87610784,0.24137931,0.909677419,0.131512385,0.080541753,1,0.14416836,0.214285714,0.286075949,0.334056399,0.485549133,0.4873502,0.316290454,0.262672811,0.3,0.131782946,0.270518365,-0.877218443,1.409294745,0.268209321,-0.689459245,0.59451516,-0.499343448,-0.539995601,-0.317612027,0.067951064,-0.042615766,-0.100939133,-0.511747725,-0.503976448,0.036156964,-1.251893906,-0.365495489
7,80,88.028,12.275,1,22.505,2.7,202,113,74.7,203.7,3.489,17,24,88,80.83147017,0.24137931,0.516129032,0.162675247,0.114040712,1,0.173998558,0.242857143,0.372151899,0.442516269,0.699421965,0.723035952,0.433505575,0.30875576,0.3,0.682170543,0.349098552,-0.877218443,0.05187588,0.516570898,-0.483468649,0.59451516,-0.339393494,-0.347315352,0.285845172,0.726489155,1.036055183,1.225300849,0.178446672,-0.245146542,0.036156964,0.623507434,0.154640733
7,151,0.916,58.47,1,69.725,8,450,96.2,75.7,176.7,3.375,19,16,118,188.144323,0.24137931,0.974193548,0.001491347,0.854463856,1,0.793155445,1,1,0.078091106,0.757225434,0.363515313,0.40250204,0.400921659,0.033333333,0.914728682,1,-0.877218443,1.631822427,-0.768031507,4.069514886,0.59451516,2.980534784,4.758711232,4.687532978,-1.486198831,1.327587872,-0.797777089,-0.004110546,0.272513271,-1.856057466,1.415930535,4.463073058
7,117,227.061,15.06,0,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17,61,90.21170005,0.24137931,0.75483871,0.419928911,0.158679276,0,0.134071986,0.6,0.443037975,1,0.965317919,0.996005326,0.700299157,0.723502304,0.066666667,0.472868217,0.405993929,-0.877218443,0.875228306,2.566829487,-0.208978788,-1.682042893,-0.553480356,2.061187754,0.782809924,4.111374943,2.377105551,2.761341506,1.749399582,2.084322616,-1.619530663,-0.089673357,0.531241341
7,119,16.767,15.51,0,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15,10,71.13529161,0.24137931,0.767741935,0.030820555,0.16589197,0,0.15839507,0.414285714,0.303797468,0.368763557,0.936416185,0.575233023,0.639107968,1,0,0.07751938,0.290286803,-0.877218443,0.919733843,-0.534283772,-0.164626745,-1.682042893,-0.423059624,0.808766139,-0.193370839,0.278683253,2.231339207,0.39359103,1.389089282,3.637302055,-2.09258427,-1.436792629,-0.234644688
7,118,31.038,13.425,0,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16,103,70.07832154,0.24137931,0.761290323,0.05722628,0.132473153,0,0.122467711,0.414285714,0.303797468,0.750542299,0.936416185,0.786950732,0.653521893,1,0.033333333,0.798449612,0.283875797,-0.877218443,0.897481074,-0.323835602,-0.370124541,-1.682042893,-0.615702645,0.808766139,-0.193370839,2.596737334,2.231339207,1.584959149,1.473962375,3.637302055,-1.856057466,1.019718984,-0.277080276
7,50,111.313,11.26,0,16.98,2.5,120,131,71.5,215,3.557,22,19,27,49.64500177,0.24137931,0.322580645,0.205759634,0.097772079,0,0.101553793,0.214285714,0.164556962,0.8329718,0.514450867,0.873501997,0.451998912,0.539170507,0.133333333,0.209302326,0.159938383,-0.877218443,-0.615707168,0.859944566,-0.583507144,-1.682042893,-0.727843383,-0.539995601,-1.169551603,3.097226283,0.103150579,2.071996431,0.287340452,1.04900299,-1.146477055,-0.987752872,-1.097444036
7,53,101.323,14.18,0,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17,90,92.85412522,0.24137931,0.341935484,0.187275072,0.144574451,0,0.223890382,0.6,0.443037975,0.501084599,0.526011561,0.587217044,0.679630133,0.677419355,0.066666667,0.697674419,0.422021444,-0.877218443,-0.548948863,0.712626424,-0.29571167,-1.682042893,-0.071872802,2.061187754,0.782809924,1.082099724,0.161457117,0.461026961,1.627694769,1.82549271,-1.619530663,0.676335641,0.637330311
7,32,181.749,12.025,0,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24,120,61.22700031,0.24137931,0.206451613,0.336087823,0.110033659,0,0.135448764,0.2,0.240506329,0.449023861,0.820809249,0.491344874,0.445471852,0.447004608,0.3,0.930232558,0.230188492,-0.877218443,-1.016256997,1.898633323,-0.508108672,-1.682042893,-0.54609805,-0.636335725,-0.637089368,0.766001441,1.648273829,-0.078460489,0.248907353,0.531343177,0.036156964,1.468758742,-0.632446083
8,60,70.227,7.425,1,12.07,2,110,98.4,67,174.7,2.468,12.7,30,59,44.08370946,0.275862069,0.387096774,0.129737941,0.036303895,1,0.037173015,0.142857143,0.139240506,0.125813449,0.25433526,0.336884154,0.15583356,0.110599078,0.5,0.457364341,0.126206606,-0.760503786,-0.393179485,0.254067369,-0.961485104,0.59451516,-1.073054053,-1.021696222,-1.347039014,-1.196442071,-1.208746521,-0.947634714,-1.456561402,-1.35811514,1.455317786,-0.142501564,-1.320720661
8,101,113.369,12.76,1,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24,8,76.50918456,0.275862069,0.651612903,0.209563864,0.121814393,1,0.161607553,0.4,0.341772152,0.188720174,0.606936416,0.450066578,0.355724776,0.248847926,0.3,0.062015504,0.322881917,-0.760503786,0.519184014,0.890263495,-0.435667003,0.59451516,-0.405834244,0.712426014,0.072860278,-0.814489978,0.569602881,-0.310739808,-0.279547754,-0.58162542,0.036156964,-1.489620836,-0.018891836
8,44,35.068,8.835,1,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25,111,67.35101072,0.275862069,0.283870968,0.064683015,0.05890367,1,0.102274962,0.214285714,0.291139241,0.301518438,0.375722543,0.468708389,0.237693772,0.216589862,0.333333333,0.860465116,0.267333411,-0.760503786,-0.749223778,-0.264406962,-0.822515372,0.59451516,-0.723976461,-0.539995601,-0.282114545,-0.129610363,-0.596527874,-0.20583947,-0.974546289,-0.762806355,0.272683767,1.231031811,-0.386577264
8,145,245.815,10.055,1,17.885,3,155,108.5,73,197.6,3.368,16,24,36,62.5037395,0.275862069,0.935483871,0.454629559,0.078458086,1,0.113420311,0.285714286,0.253164557,0.344902386,0.601156069,0.641810919,0.400598314,0.262672811,0.3,0.279069767,0.237932498,-0.760503786,1.498305818,2.843386488,-0.702272057,0.59451516,-0.664214939,-0.05829498,-0.548345662,0.133804873,0.540449612,0.768235093,-0.0153202,-0.503976448,0.036156964,-0.750025942,-0.581187131
8,65,175.67,14.18,1,12.315,2,107,103,66.9,174.8,2.564,13.2,30,100,43.11713201,0.275862069,0.419354839,0.32483981,0.144574451,1,0.040385498,0.142857143,0.13164557,0.225596529,0.248554913,0.338215712,0.1819418,0.133640553,0.5,0.775193798,0.120343873,-0.760503786,-0.281915644,1.80898898,-0.29571167,0.59451516,-1.055828673,-1.021696222,-1.400285238,-0.590587027,-1.23789979,-0.940141833,-1.302829007,-1.228700187,1.455317786,0.940476674,-1.359527135
8,48,63.403,14.21,1,22.195,4.6,200,114.7,78.2,212,3.908,19,21,127,80.49953671,0.275862069,0.309677419,0.11711145,0.145055297,1,0.169933784,0.514285714,0.367088608,0.479392625,0.901734104,0.83355526,0.547457166,0.400921659,0.2,0.984496124,0.347085225,-0.760503786,-0.660212705,0.153436838,-0.292754867,0.59451516,-0.361188872,1.483147008,0.25034769,0.950392106,2.056419594,1.847209993,0.849424521,0.272513271,-0.673423448,1.653657465,0.141314158
8,62,276.747,16.64,0,31.93,4,210,111.6,70.2,190.7,3.876,21,19,70,87.63549578,0.275862069,0.4,0.51186324,0.184003847,0,0.297580804,0.428571429,0.392405063,0.412147505,0.439306358,0.549933422,0.538754419,0.493087558,0.133333333,0.542635659,0.390368074,-0.760503786,-0.348673949,3.299527107,-0.053253839,-1.682042893,0.323256316,0.905106263,0.427835101,0.54209849,-0.275841917,0.251226286,0.798180389,0.790173084,-1.146477055,0.148053573,0.42781103
