Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
6,2,30.696,14.18,1,29.185,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,43,101.6552441
7,104,76.034,7.75,1,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,34,52.08489875
7,17,4.734,12.545,1,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,96,65.65050834
7,141,71.186,10.185,1,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,17,67.87610784
7,80,88.028,12.275,1,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,24.0,88,80.83147017
7,151,0.916,58.47,1,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,118,188.144323
7,117,227.061,15.06,0,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,61,90.21170005
7,119,16.767,15.51,0,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,10,71.13529161
7,118,31.038,13.425,0,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,103,70.07832154
7,50,111.313,11.26,0,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,27,49.64500177
7,53,101.323,14.18,0,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,90,92.85412522
7,32,181.749,12.025,0,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,120,61.22700031
8,60,70.227,7.425,1,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,59,44.08370946
8,101,113.369,12.76,1,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,8,76.50918456
8,44,35.068,8.835,1,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,111,67.35101072
8,145,245.815,10.055,1,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,36,62.5037395
8,65,175.67,14.18,1,12.315,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,100,43.11713201
8,48,63.403,14.21,1,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,127,80.49953671
8,62,276.747,16.64,0,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,70,87.63549578
8,153,155.787,13.175,0,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,49,62.09504839
8,61,125.338,23.575,0,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,123,100.0248023
8,120,220.65,7.85,0,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,0,47.38953131
8,63,540.561,15.075,0,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,108,89.40193473
9,41,199.685,9.85,1,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,14,42.87909734
9,12,230.902,13.21,1,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,78,54.26954829
9,28,73.203,17.71,0,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,56,60.08796662
9,109,12.855,17.525,0,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,21,83.6025008
9,105,76.029,19.49,0,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,51,85.21769134
10,11,41.184,5.86,1,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,121,36.67228358
10,57,66.692,7.825,1,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,23,54.59004516
10,140,29.45,8.91,1,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,85,58.758249
11,77,23.713,19.69,1,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,66,92.43688923
12,123,15.467,14.18,1,42.8,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,31,102.1789848
13,154,55.557,13.475,0,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,60,48.67289791
13,39,80.556,13.775,0,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,18,76.58443962
13,74,157.04,18.81,0,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,33,80.38777912
14,55,24.072,26.975,1,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,106,87.21100104
14,68,12.698,32.075,1,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,74,94.9466984
14,69,3.334,14.18,1,46.305,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,30,125.0133574
14,85,6.375,40.375,1,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,58,124.4467163
14,87,9.126,14.18,0,60.105,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,16,105.760458
14,116,51.238,14.18,0,34.605,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0,9,91.94380156
15,43,13.798,20.525,1,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,114,113.5402069
15,147,48.911,21.725,1,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,94,93.9579169
15,103,22.925,14.18,0,42.66,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0,39,123.9720467
18,95,26.232,8.325,1,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,68,45.83218056
18,56,42.541,10.395,1,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,26,62.44196235
18,71,55.616,10.595,1,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,7,58.60677292
18,52,5.711,16.575,1,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,113,84.83077858
18,1,0.11,20.94,1,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,92,67.54415494
18,98,11.337,19.125,0,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,4,83.92081504
18,99,39.348,13.88,0,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,77,70.66094179
17,102,14.351,8.8,1,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,35,50.99774761
17,47,26.529,13.89,1,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,48,51.11347426
17,133,67.956,11.03,1,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,125,62.23996663
17,75,81.174,14.875,1,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,102,80.65769646
17,100,27.609,20.43,0,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,44,85.94974425
17,150,20.38,14.795,0,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,12,69.671461
16,23,18.392,26.05,1,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,69,78.28073088
16,54,27.602,41.45,1,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,98,98.2497375
16,122,16.774,50.375,1,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,84,125.2738757
16,129,3.311,58.6,1,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,54,139.9822936
16,130,7.998,14.18,1,38.9,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,2,82.80736193
16,131,1.526,14.18,1,41.0,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,117,81.84896924
16,27,11.592,14.18,1,41.6,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0,105,92.92579177
16,26,0.954,14.18,1,85.5,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,64,141.1009845
16,91,28.976,14.18,0,35.3,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0,42,90.49553213
19,136,42.643,8.45,1,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,115,50.24197791
19,14,88.094,11.295,1,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,110,63.31372783
19,93,79.853,15.125,1,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,81,89.42782031
19,113,27.308,15.38,0,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,62,71.17166413
19,110,42.574,17.81,0,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,126,72.29035508
19,155,54.158,14.18,0,22.799,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0,5,69.78294434
19,67,65.005,14.18,0,17.89,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0,112,67.88927059
20,49,1.112,11.24,1,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,80,60.86161155
20,81,38.554,14.18,1,24.15,3.5,215.0,109.0,73.6,195.9,3.455,18.0,24.0,63,86.27252291
20,13,80.255,14.18,1,18.27,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0,12,60.72744693
20,15,14.69,19.89,1,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,45,103.4416926
20,21,20.017,19.925,0,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,124,80.51167259
20,139,24.361,15.24,0,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,89,76.09657042
21,104,32.734,7.75,1,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,71,52.08489875
21,22,5.24,9.8,1,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,22,53.41189767
21,152,24.155,12.025,0,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,69,60.95118512
21,112,1.872,14.18,1,43.0,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,90,106.9844563
22,142,51.645,13.79,1,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,6,62.0158703
22,73,131.097,10.29,1,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,28,70.38973726
22,64,19.911,17.805,1,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,86,81.49272616
22,76,92.364,14.01,1,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,11,78.31816813
22,19,35.945,13.225,1,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,76,82.6613556
22,96,39.572,14.18,0,25.635,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0,100,76.20843952
23,20,8.982,41.25,1,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,46,93.4373307
23,34,1.28,60.625,1,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,37,134.3909754
23,33,1.866,67.55,1,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,97,135.9147096
24,6,9.191,14.18,1,33.12,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,32,73.50377819
24,0,12.115,14.18,1,26.1,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0,83,76.02304771
25,128,80.62,9.2,1,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,108,39.98642475
25,127,24.546,10.59,1,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,53,40.70007242
25,132,5.223,10.79,1,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,1,49.86577367
25,86,8.472,14.18,1,18.835,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,116,56.29524304
25,84,49.989,14.18,1,15.01,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0,41,54.81972825
26,106,47.107,14.18,1,22.695,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0,104,67.7659076
26,66,33.028,14.18,0,20.095,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0,121,66.76294331
27,45,142.535,10.025,1,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,64,47.96897242
27,31,247.994,13.245,1,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,42,54.37241965
27,16,63.849,18.14,1,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,115,84.91189826
27,37,33.269,15.445,1,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,40,56.49603034
27,144,84.087,9.575,0,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,107,55.29711658
27,138,65.119,14.18,0,22.368,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0,18,78.02721947
27,114,25.106,13.325,0,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,81,51.95510887
27,5,68.411,19.425,0,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,62,62.35557713
27,88,9.835,34.08,0,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,126,102.5289842
28,72,9.761,11.425,1,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,5,46.94387676
28,82,83.721,13.24,1,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,112,47.63823666
28,108,51.102,16.725,1,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,16,61.70138136
28,29,9.569,16.575,1,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,80,48.90737225
28,70,5.596,13.76,1,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,63,47.94684106
28,18,49.463,14.18,1,15.9,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0,13,47.32963226
29,124,16.957,14.18,1,23.4,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0,45,66.1130568
29,148,3.545,14.18,1,24.4,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,124,66.4988123
29,125,15.245,14.18,1,27.5,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0,26,70.65449545
29,149,17.531,14.18,1,28.8,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0,89,71.1559776
29,24,3.493,14.18,1,45.5,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0,71,101.6233572
29,126,18.969,14.18,1,36.0,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0,22,85.73565451
